type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
3,291.52301916980866,1.1518065929412842,1,0.4877850229177318,83,100.61395948979639,0.11690485950516971,1.7014973831161622,5.497787143782138,-4.71238898038469,-0.27099706113948124,176.97974382498685,686.8433148158936,-684.1128136088645,582.7614074973949,142.20056258679148,42,134.18772278840189,448.57635316345664,1880.6851403461574,-426.5538492830265,175.85441082020495,361.36706709066357,1502.123377204763,-245.06596552731523,420.225949347253,448.3687594909433,1880.6851403461574,0.0,1586.8106019258707,23824.269709022257,63355.97357815239,-79615.8127584932,41438.26986991363,3674382.5614086054,7922428.450090724,-11505427.126844395,0.05565357208251953,7,11,489,572,1
1,251.71541898801232,0.936819314956665,2,0.9398617047505676,85,169.06186950578643,0.004912772583033898,0.4545649508655321,1.5707963267948966,-1.5707963267948966,4.941365568172498,78.15284592637194,254.1042952170471,-196.95666248127534,175.03341612591242,236.57768280207665,26,-148.63108993129416,149.68483318714468,0,-499.217901032523,302.9768814290497,253.003630000015,880.5220729366603,6.909993723135928,356.99634585054673,269.3201158724254,1000.4603527431834,9.772206839171787,879.422577044629,16386.558349297473,42273.452126075565,-48200.163660315244,85979.32412423425,3491394.1638010326,11548772.070688905,-9556646.736487193,0,7,11,573,657,1
1,248.4479585324321,1.8952312469482422,6,0.8676813228013124,86,-58.06566126226755,0.040507672015494635,1.2353077723830543,4.71238898038469,-4.71238898038469,4.672892442504914,110.23047134510988,298.48218713637215,-203.53614958431686,168.27659337566874,215.5736533067063,21,132.95356376821445,206.49258007318826,785.6463536463536,-63.339887343511684,-275.69588065539114,387.3027782413051,250.81799970100164,-1570.9908954707848,342.29416194591226,410.6211423042995,1730.2435794913063,8.850460426918305,991.6121560224941,18906.175509404155,53571.754555054475,-63395.380433925704,68225.73620885097,3448078.82103455,12307598.0215717,-8298610.823579439,0.055860280990600586,7,11,661,746,1
4,24.30056307974577,0.7398247718811035,1,0.6172696472413152,22,15.707963267948966,0.015603706690445494,1.5348892968937746,1.5707963267948966,-3.887522570888568,0.7334597953061978,239.20716082924142,588.9859929073075,-684.7832336020074,500.4,15.0,1,43.67668290641671,78.24287431410195,245.37420656974874,-124.55615608481321,45.12133479475749,76.87386368275645,249.9883180355227,-124.55615608481321,101.02127564900984,71.92686739173098,274.33670290751684,0.0,2797.647072397577,10416.818379018288,31247.079577114822,-15615.418534047696,187482.5685805409,1900007.5557354512,3932368.3827327723,-5991086.420313381,0.19135522842407227,7,11,747,768,1
1,22.650281539872886,1.0080251693725586,5,0.36406661156590636,20,0.32175055439664213,-0.04868003498996087,3.0328370688746884,4.71238898038469,-4.71238898038469,-35.51849534955007,245.8590575501103,357.056000252609,-606.6664195820573,439.71708819087166,8.246211251235321,5,-8.419716696318961,80.39705690756361,251.71361699573907,-129.89080548759716,-32.11146544000856,96.17046978662096,250.01066968676423,-251.5098491889785,91.93821930475386,87.10970381700344,281.19655989863816,2.782245070562677,2526.658901134633,10064.188637218933,31679.87249053881,-13115.233845951967,163991.8840130433,1491687.2528774568,4006498.0487045664,-4064677.107201231,0.015947341918945312,7,11,769,788,1
4,234.43885520493706,1.3039422035217285,2,0.8866197734550277,84,183.71768381621575,0.05983996581272632,0.41087659106915403,3.141592653589793,-0.7853981633974483,0.6720014251977924,47.65669060672127,138.3500162561783,-196.43695692127616,188.38811356659164,207.85812469085735,35,-107.06962394162635,95.03162257670031,0,-375.1501744134045,281.7590613829151,292.5493680720426,888.9196766477944,0.0,331.90880435313187,273.56795534830496,952.3528696525867,0.0,527.8764492356019,16999.27226242081,49729.65348011268,-40439.219251318435,28054.877042061555,3529852.1943586622,10802766.259492978,-8755925.516475102,0.17598652839660645,7,11,789,872,1
1,1000.7552857227497,1.2002806663513184,1,0.9547499789700455,136,163.09565319713943,0.010264413261156874,0.5056464873195522,1.5707963267948966,-1.5707963267948966,-1.2198544755329168,67.23384305595485,196.47503404589932,-208.15763535626493,1799.8911967116235,955.4710879979572,39,291.09622786510505,436.0865585652403,1858.2269024980403,-380.7004719835411,826.6218654872872,781.3945589458866,2614.9027431421446,0.0,917.39217755309,852.1099498447464,3006.7264692027297,24.92677621608772,756.0217343375311,28883.368476979827,114806.5641064538,-80407.65907903889,70287.51222144028,5694977.456517673,20486999.396940857,-19465437.57431737,0.024010658264160156,7,12,3,138,1
4,843.6791810429714,1.6239399909973145,5,0.5726593438511243,153,-99.1642882007725,0.022003213001466047,0.4883506515620573,4.71238898038469,-1.5707963267948966,-0.13630991021593317,152.07855212355162,763.8538283136777,-762.945397763266,1200.2030060854886,483.1407662369219,48,-273.9219069720556,806.2710303400745,406.0182633667839,-2999.8598164262726,-287.1222539092962,421.87538892848227,270.6788422445226,-1251.0227577773137,687.8869220878528,712.8686009709701,3041.2391479175044,0.0,245.79657362737552,24357.227168079284,68377.43048966702,-59091.38479167147,-6984.837996155057,4783436.050140176,10587627.725811902,-11254337.202873688,0,7,12,139,292,1
3,130.93239760007376,0.7680928707122803,2,0.9463758461588769,55,88.61553680277957,0.07133150111294864,0.43313680000033544,1.5707963267948966,-1.5707963267948966,-0.391942659305493,48.84928982974461,100.11544670345766,-224.41574074055256,737.1243021439833,123.9112585683803,28,-25.482003312499764,86.91466759269257,250.0702936354151,-250.2269418923756,265.5078561254332,228.85249083852725,868.0008277900961,0.0,275.8021465536934,234.14144485234115,876.8132448655908,0.0,945.0106349303329,14501.669383855085,46922.808621283664,-33987.553506346216,123962.10784856156,2756787.3236281234,7808115.074093775,-8594579.447720846,0.015689849853515625,7,12,293,348,1
3,285.47603869667176,1.288106918334961,5,0.9062889905729115,104,-140.77256616096523,-0.005141782533687624,1.4849701801294037,5.497787143782138,-4.71238898038469,-0.9367983854136989,231.58793400012462,737.9983261423276,-689.0599315199162,1102.0246687040815,258.72379094316005,57,-92.15086251021678,150.08566642043868,125.06870229007633,-625.1384624556592,-278.0439106469795,335.72854524891477,0,-1609.6855571190995,324.20703173763934,339.9329494933441,1631.8891654010454,0.0,416.1297319965705,22019.443749230642,74505.90030961431,-110221.55828597287,37094.573423175774,4856165.109396557,16959245.08248524,-23070602.62319276,0.008001089096069336,7,12,349,453,1
